source,target,follower_count
91798372,1530814562702102529,52
91798372,345558882,82
91798372,2300913038,1
91798372,721904658336374784,125
91798372,1449498858472591361,4
91798372,761514035317772289,0
91798372,1387512114798018561,1190
91798372,715416339163144193,3
91798372,465464916,746
91798372,4723765304,696
91798372,1491539758492930057,17
91798372,1493981165530882048,64
91798372,1538740752271953925,2
91798372,1577110337991622656,342
91798372,599885548,184
91798372,1115471797409816576,1
91798372,1577799276918456320,3
91798372,37990300,344
91798372,1172177221,2
91798372,1540690130171621376,106
91798372,597927074,151
91798372,148716158,80
91798372,600895777,15
91798372,81000913,17
91798372,1262511055546265607,198
91798372,1192861391884939264,15
91798372,121417525,11
91798372,820164423138574336,0
91798372,1461292929184514051,11
91798372,1187532659280375808,0
91798372,1105536188402655232,178
91798372,1576466510431678464,16
91798372,1161588141226110976,14
91798372,1198641946392219650,3
91798372,99782817,486
91798372,815819915881873408,1
91798372,1491421376799981579,421
91798372,1366437795728941058,42
91798372,1011118111301537794,1067
91798372,1515248123484209156,2
91798372,1622921208,448
91798372,538398837,629
91798372,50555140,155
91798372,1577393003429330946,3
91798372,1576747959017930752,0
91798372,1433571681130385410,43
91798372,1577405686752813059,0
91798372,1090963775845367808,18
91798372,1017929592554835968,10
91798372,1380919605095362564,14
91798372,836638569565405184,4
91798372,1125787801046241280,1
91798372,144859714,285
91798372,882964466475950081,257
91798372,1308462489110102017,0
91798372,193976939,195
91798372,1297530495501307904,3
91798372,723536646239604738,1024
91798372,1136775107597258753,45
91798372,2898824484,49
91798372,911501957432467456,11
91798372,1576861287635714049,2
91798372,1574833323373137920,9
91798372,1569161075362304001,26
91798372,1356259238662860806,51
91798372,2246647922,215
91798372,908299643469021184,4
91798372,389785072,521
91798372,452347173,6
91798372,985806236628090881,204
91798372,1502481382672506885,4
91798372,55648025,22499
91798372,1479847684219490304,804
91798372,1280099678684680192,118
91798372,1510017116,0
91798372,611427260,125
91798372,2603159186,10689
91798372,1573351597136019456,132
91798372,174799799,29
91798372,1576940084959404032,0
91798372,121195094,161
91798372,931416042429210624,73
91798372,1543688779587788800,17
91798372,1259565121338142720,35
91798372,1228311161570914309,20
91798372,2560914044,61
91798372,1542344204013432832,9
91798372,795271994669486080,40
91798372,267848980,265
91798372,92956890,6
91798372,27400421,2
91798372,54739806,1756
91798372,481405528,70
91798372,981190439259787266,10
91798372,1326215977462190080,15
91798372,361347329,735
91798372,2181292109,3224
91798372,1261633488098230272,12
91798372,137382560,21
91798372,1567750243977936896,0
91798372,315112234,654
91798372,3233353899,163
91798372,1125494837594083328,16
91798372,2745650384,26
91798372,1473776481750892547,51
91798372,740442553271635970,24
91798372,437324874,376
91798372,1493122912164982787,82
91798372,1366850453691109383,5
91798372,1378046538484645891,52
91798372,2797972701,1107
91798372,136613619,202
91798372,1223501461876658176,49
91798372,70631955,74
91798372,741557999244742657,9
91798372,1529470180149014529,161
91798372,182751144,80
91798372,1358873563,108
91798372,1568884789092155394,1
91798372,1090854638830546944,9
91798372,1570013706787880965,0
91798372,1549523949637160960,370
91798372,326116546,564
91798372,624874688,63
91798372,1358760962988384257,3939
91798372,1412767432666583043,328
91798372,1229161170231148546,24
91798372,499790405,145
91798372,34463253,35
91798372,1492451152138768384,19
91798372,1301367726821314561,49
91798372,4729063704,50
91798372,109330626,200
91798372,966254412414013440,8
91798372,1354950073298382851,53
91798372,2265239892,93
91798372,1576732216494903296,52
91798372,967612439138152449,642
91798372,3118297463,0
91798372,882894380889030656,1
91798372,4819922127,463
91798372,1499632717771993093,12
91798372,1488522718014234634,18
91798372,1404417316755066884,151
91798372,1461554257493114881,126
91798372,997505121578897408,140
91798372,1237396772110004224,120
91798372,93857779,75
91798372,1524316961865351169,229
91798372,1576422490519347207,7
91798372,1167104340072337408,1
91798372,1519134360867287040,17
91798372,968437452,353
91798372,1462165242,2
91798372,631907653,0
91798372,2718571274,36
91798372,1497017243938562049,5
91798372,1129534447416631296,4
91798372,985142387625213952,198
91798372,74618946,106
91798372,1175575642072444929,32
91798372,1779951,452
91798372,1572629874757742593,152
91798372,1174830560038068224,70
91798372,4018950262,63
91798372,278386348,4
91798372,1305597848,68
