source,target,follower_count
715901816857358336,1568027736169484299,32
715901816857358336,1583502892161376259,1
715901816857358336,1057722863044702209,16
715901816857358336,271781360,1
715901816857358336,4642090396,439
715901816857358336,19243325,104
715901816857358336,51108626,119
715901816857358336,753280884585922561,7
715901816857358336,387720178,1386
715901816857358336,1320707766588231680,16
715901816857358336,1579852132911554560,67
715901816857358336,1247150721847484416,772
715901816857358336,1583002497706528768,14
715901816857358336,1576517406561820672,703
715901816857358336,26403984,1729
715901816857358336,1492872546689200131,0
715901816857358336,841453048358621185,1
715901816857358336,938742883,15
715901816857358336,1569321364548644864,37
715901816857358336,1547860717096685569,4
715901816857358336,15145700,8451
715901816857358336,273285239,26
715901816857358336,1547139154047295499,179
715901816857358336,919814118940360704,0
715901816857358336,1573858916617814017,5
715901816857358336,28581067,368
715901816857358336,409472627,9
715901816857358336,1091331283483951105,81
715901816857358336,2882264269,441
715901816857358336,1468021996168433665,3
715901816857358336,1582894450447376384,44
715901816857358336,874670231829925888,84
715901816857358336,1582247819410575362,0
715901816857358336,1583076141736546305,0
715901816857358336,1497502989568942082,6
715901816857358336,2737891694,27
715901816857358336,1267623756622684162,6
715901816857358336,1506593374589050890,37
715901816857358336,1243608295073632256,46
715901816857358336,952736046156013569,2
715901816857358336,1582893007040233472,8
715901816857358336,469704473,1591
715901816857358336,965799868601167872,3
715901816857358336,19723107,1700
715901816857358336,1124542753885642752,9
715901816857358336,1511731722144075778,29
715901816857358336,1523645229672407040,119
715901816857358336,1550914878,2
715901816857358336,514243156,154
715901816857358336,1318586754253901826,309
715901816857358336,113749334,550
715901816857358336,840518187024232450,2
715901816857358336,1569733810606206977,98
715901816857358336,67115693,232
715901816857358336,1503626577850081280,32
715901816857358336,21669099,23
715901816857358336,1580551448378675208,0
715901816857358336,781054611734065152,104
715901816857358336,735097140951711744,37
715901816857358336,1369459221360705539,2
715901816857358336,919303804163633159,39
715901816857358336,1573140981192564738,6
715901816857358336,621621294,823
715901816857358336,57487417,225
715901816857358336,1577652619010531328,1
715901816857358336,1420751656136757248,8
715901816857358336,267956783,677
715901816857358336,3193975538,28
715901816857358336,601606782,125
715901816857358336,1544371116013105154,3
715901816857358336,1173231819556147200,3
715901816857358336,1243745921336295425,9
715901816857358336,1581956097786642433,0
715901816857358336,1508476955385122817,1
715901816857358336,1582336570635567104,1
715901816857358336,1564444490810761217,50
715901816857358336,1542439720411889665,4
715901816857358336,790494340372058112,21
715901816857358336,1449759079954468876,20
715901816857358336,1199983599602327552,13
715901816857358336,1087533085481000962,82
715901816857358336,769948735136788480,31
715901816857358336,866999586321088514,134
715901816857358336,1574193423321600001,27
715901816857358336,283090065,336
715901816857358336,778825153564192768,14986
715901816857358336,1559653958058139650,15
715901816857358336,1582091532831981570,18
715901816857358336,1581728763636768769,3
715901816857358336,3430465186,39
715901816857358336,2458827456,3359
715901816857358336,1500241383331930115,506
715901816857358336,1581309709113401344,1
715901816857358336,17272830,26
715901816857358336,1474156648952483843,784
715901816857358336,2846432327,1658
715901816857358336,20222744,119726
715901816857358336,2187272125,108
715901816857358336,1060178184686235648,474
715901816857358336,820971373958991872,1
