index,Id,degree,group
492,1120879074,11,2
493,1264679003841069056,11,3
494,310385127,11,3
495,2502967792,11,3
496,1269678797697286145,11,3
497,935964414141874176,11,2
498,89498117,11,3
499,376908311,11,3
500,3011533340,11,0
501,571224644,11,3
502,1193685952432132096,11,3
503,770759270,11,2
504,2155207283,11,1
505,932348325638131712,11,1
506,17685895,11,1
507,442110648,11,3
508,1254999326125780992,11,3
509,1051871942,11,3
510,954362580,11,1
511,4605989592,11,1
512,1259546713934749698,11,1
513,1256083274193133571,11,3
514,32205586,11,3
515,3002540816,11,3
516,1233523757249159173,11,1
517,159720223,11,3
518,391488297,11,2
519,494308139,11,1
520,1328417102819188746,11,1
521,840816423676985344,11,3
522,784600814396567552,11,1
523,148800323,11,3
524,337012738,11,1
525,2423008116,11,3
526,1022186583997313024,11,2
527,4721462173,11,2
528,15565732,11,3
529,2844988335,11,3
530,82154425,11,1
531,1070514113518944256,11,3
532,1428886508,11,1
533,466953226,11,2
534,1266436555524243458,11,1
535,884083361295335428,11,1
536,28896284,11,3
537,1308445341348433920,11,1
538,913551582884696065,11,3
539,408898649,11,1
540,911156318,11,1
541,9840392,11,1
542,2249049186,11,3
543,1178989675,11,3
544,1275204681569112064,11,3
545,1182794648869376000,11,3
546,952745082,11,2
547,14531739,11,3
548,984188065,11,3
549,1292476725977387010,11,1
550,1237505921368166402,11,3
551,153939115,11,0
552,3098129598,11,1
553,318708945,11,3
554,820014675542806528,11,3
555,415495395,11,3
556,962910390366609408,11,3
557,2226879816,11,1
558,956266072440635392,11,2
559,922556981147140097,11,2
560,1267683221405347840,11,1
561,783671111569506304,11,3
562,1292345168834768902,11,3
563,3838164394,11,3
564,830540479779438594,11,1
565,1147535159102590976,11,1
566,827011405165559808,11,2
567,20852175,11,2
568,1278131645317435393,11,3
569,1108563509225242624,11,3
570,28354074,11,3
571,831282715,11,1
572,250326559,11,2
573,978414435067940865,11,3
574,388195931,11,3
575,22402658,11,3
576,2640729706,11,1
577,753282703,11,3
578,1207705612026630149,11,3
579,3036538559,11,3
580,272576241,11,1
581,1188425871209586688,11,1
582,226635545,11,1
583,21712671,11,2
584,16801580,11,2
585,343713611,11,0
586,801611629,11,0
587,838938482,11,1
588,2768271223,11,2
589,986443576698531841,11,2
590,1339727827789213697,11,1
591,700250047,11,3
592,731648778,11,3
593,2362712023,11,3
594,796227899108032516,10,3
595,19357729,10,2
596,1269421488412614656,10,1
597,1077388210039283712,10,3
598,2869858477,10,2
599,16074930,10,3
600,1139297142630178816,10,2
601,1200435723859582976,10,3
602,1071069922137137153,10,1
603,25028835,10,1
604,1094898139511906304,10,1
605,3279945986,10,1
606,792558292916641792,10,1
607,258134278,10,2
608,1298499587393630208,10,3
609,1169739725525135360,10,3
610,1268005281084125184,10,3
611,1600678208,10,2
612,226822479,10,1
613,3166099586,10,1
614,188987733,10,3
615,1573683554,10,3
616,344633710,10,2
617,1433330034,10,3
618,1287041575604957184,10,3
619,102549878,10,1
620,521578875,10,3
621,1340093943879512065,10,1
622,1331968286192447489,10,1
623,827537010952843264,10,1
624,1320773699528699905,10,1
625,35043727,10,3
626,785209740,10,2
627,1278344526881599489,10,3
628,1680691602,10,3
629,74908051,10,1
630,1218657589925269504,10,3
631,4218124714,10,2
632,122876339,10,3
633,1249161474892648449,10,3
634,1283777342553427969,10,1
635,1585846729,10,1
636,1185381648566669312,10,3
637,225225182,10,2
638,253178338,10,0
639,1026454776538693632,10,3
640,948602575040888833,10,3
641,24603783,10,1
642,266701328,10,3
643,17701397,10,3
644,32539175,10,1
645,2316399164,10,3
646,711031364,10,0
647,247947877,10,3
648,1441891293752217601,10,1
649,737832072606142464,10,0
650,711281977144397826,10,2
651,1005798791918866435,10,3
652,734048236500045826,10,3
653,2187057823,10,3
654,341467812,10,1
655,273769128,10,1
656,2476270256,10,1
657,357292724,10,2
658,101483190,10,1
659,899044056,10,0
660,4193112797,10,1
661,775107006797668352,10,2
662,1356786368656138241,10,0
663,735670580150689794,10,3
664,493775634,10,3
665,316449565,10,2
666,1082434393262571520,10,2
667,4061092694,10,1
668,856006915633147904,10,3
669,848185873137102851,10,1
670,912383916883013635,10,1
671,1088812005417512963,10,2
672,21717987,10,0
673,1354431487,10,3
674,897647218731220994,10,3
675,819875812694458372,10,1
676,1151745624678621184,10,1
677,1237215015523868672,10,3
678,3097390120,10,2
679,1313944235452891144,10,1
680,1090429759702601728,10,2
681,1088862056705593344,10,0
682,1309307285777321984,10,1
683,930018563611594752,10,3
684,836975177279758337,10,3
685,398201923,10,3
686,1207273044756041729,10,3
687,19360844,10,3
688,3074470992,10,2
689,258956383,10,3
690,80706659,10,3
691,909200191626121216,10,3
692,1290079399816171520,10,1
693,891100667653218305,10,1
694,1281613058624950272,10,3
695,763542800377876480,10,3
696,724012560534507521,10,0
697,1048681219746140162,10,3
698,1105554050911735812,10,3
699,1296281955361853446,10,1
700,1266053546849505287,10,1
701,3082546368,10,3
702,53220544,10,1
703,378082521,10,0
704,2372930780,10,3
705,877238947793035264,10,0
706,1281548988349636608,10,2
707,776244109505945600,10,3
708,805965229444173824,10,3
709,866219268,10,1
710,736676509742571520,10,1
711,707341058393415682,10,0
712,1242991880,10,3
713,352103699,10,3
714,1419504286715715588,10,1
715,1179136729565011972,10,1
716,31212830,10,1
717,16549200,10,3
718,373902676,10,1
719,957112964313579521,10,3
720,1248654952639037442,10,1
721,524752250,10,0
722,941538966871912448,10,0
723,1082467033206337536,10,3
724,1064456491510444033,10,2
725,1203208709125681153,10,3
726,591256990,10,2
727,1003107003693137921,10,2
728,80235953,10,2
729,449600949,10,2
