,Id,degree,group
450,1.28787E+18,12,4
451,1.17775E+18,12,4
452,1.23721E+18,12,4
453,4800796580,12,4
454,860790697,12,0
455,489975747,12,0
456,901703629,12,4
457,4489875434,12,3
458,775647212,12,4
459,3150600186,12,4
460,2301628435,11,0
461,938301480,11,4
462,466042921,11,0
463,52260914,11,0
464,32442434,11,3
465,1.04181E+18,11,4
466,7.79334E+17,11,4
467,8.27237E+17,11,0
468,8.17576E+17,11,4
469,2998864022,11,0
470,1.34912E+18,11,3
471,1.42264E+18,11,3
472,466952405,11,0
473,9.2079E+17,11,0
474,1.16812E+18,11,0
475,32467167,11,4
476,1.08162E+18,11,0
477,9.0532E+17,11,4
478,8.17923E+17,11,0
479,3421301013,11,3
480,613239075,11,3
481,1.04789E+18,11,0
482,1.23796E+18,11,4
483,7.89405E+17,11,3
484,1.3086E+18,11,3
485,354431372,11,3
486,1.43558E+18,11,3
487,381092269,11,1
488,457681329,11,0
489,425286098,11,4
490,75614684,11,4
491,1962117602,11,0
492,1120879074,11,0
493,1.26468E+18,11,3
494,310385127,11,0
495,2502967792,11,4
496,1.26968E+18,11,4
497,9.35964E+17,11,0
498,89498117,11,3
499,376908311,11,4
500,3011533340,11,0
501,571224644,11,0
502,1.19369E+18,11,4
503,770759270,11,0
504,2155207283,11,3
505,9.32348E+17,11,3
506,17685895,11,3
507,442110648,11,4
508,1.255E+18,11,4
509,1051871942,11,4
510,954362580,11,3
511,4605989592,11,3
512,1.25955E+18,11,3
513,1.25608E+18,11,4
514,32205586,11,4
515,3002540816,11,4
516,1.23352E+18,11,3
517,159720223,11,4
518,391488297,11,0
519,494308139,11,3
520,1.32842E+18,11,3
521,8.40816E+17,11,4
522,7.84601E+17,11,3
523,148800323,11,0
524,337012738,11,4
525,2423008116,11,0
526,1.02219E+18,11,3
527,4721462173,11,0
528,15565732,11,4
529,2844988335,11,3
530,82154425,11,3
531,1.07051E+18,11,4
532,1428886508,11,4
533,466953226,11,0
534,1.26644E+18,11,3
535,8.84083E+17,11,0
536,28896284,11,4
537,1.30845E+18,11,3
538,9.13552E+17,11,4
539,408898649,11,3
540,911156318,11,3
541,9840392,11,0
542,2249049186,11,4
543,1178989675,11,4
544,1.2752E+18,11,4
545,1.18279E+18,11,4
546,952745082,11,0
547,14531739,11,1
548,984188065,11,4
549,1.29248E+18,11,3
550,1.23751E+18,11,4
551,153939115,11,0
552,3098129598,11,3
553,318708945,11,0
554,8.20015E+17,11,4
555,415495395,11,4
556,9.6291E+17,11,4
557,2226879816,11,3
558,9.56266E+17,11,3
559,9.22557E+17,11,0
560,1.26768E+18,11,3
561,7.83671E+17,11,0
562,1.29235E+18,11,4
563,3838164394,11,4
564,8.3054E+17,11,3
565,1.14754E+18,11,3
566,8.27011E+17,11,3
567,20852175,11,0
568,1.27813E+18,11,4
569,1.10856E+18,11,4
570,28354074,11,0
571,831282715,11,3
572,250326559,11,3
573,9.78414E+17,11,4
574,388195931,11,3
575,22402658,11,4
576,2640729706,11,3
577,753282703,11,4
578,1.20771E+18,11,3
579,3036538559,11,0
