,User,Date Created,Number of Likes,Source of Tweet,Tweet,Feeling
340,girlsintechuwc,2020-04-20 04:33:17+00:00,0,Twitter for iPhone,12 days until #sheHACKS! Sign ups are still open at https://t.co/RFRlSZnFt5 ❗️#Hackathon #Singapore https://t.co/13ZyzXjxSH,Neutral
341,charleyquant,2020-04-18 09:45:23+00:00,7,Twitter for iPhone,excited to be facilitating the Human Behaviour work stream of @CommonVC Corona Virus Hackathon from Singapore now listening to @lucysiegle inspiring us on how change matters #coronavirushackathon,Positive
342,girlsintechuwc,2020-04-15 05:26:32+00:00,1,Twitter Web App,"ONLY 17 days until #sheHACKS! Sign up now at https://t.co/RFRlSZnFt5

#Singapore #Hackathon #GirlsinTech https://t.co/5Hm9YmjPFh",Neutral
343,ibnKhalid_,2020-04-11 18:19:02+00:00,16,Twitter for Android,"We've had people from Nigeria, Sweden, Turkey, Singapore and Indonesia apply to take part in the hackathon @DeenDevelopers 😂",Positive
344,utdYainted,2020-04-11 13:34:01+00:00,1,Twitter Web App,@salkhanacademy I am a student finishing high school in Singapore. A group of us have created a #codeForCorona Virtual Hackathon in response to the current crisis. Are you interested in being an online judge for the competition. We are trying to gain participants for the event.,Positive
345,utdYainted,2020-04-11 13:32:55+00:00,1,Twitter Web App,@khanacademy I am a student finishing high school in Singapore. A group of us have created a #codeForCorona Virtual Hackathon in response to the current crisis. Are you interested in being an online judge for the competition. We are trying to gain participants for the event! DM?,Positive
346,utdYainted,2020-04-11 13:20:56+00:00,1,Twitter Web App,@elonmusk I am a student finishing high school in Singapore. A group of us have created a #codeForCorona Virtual Hackathon in response to the current crisis. Are interested in being an online judge for the competition. We are trying to gain participants for the event! DM me plz!,Positive
347,utdYainted,2020-04-11 13:19:49+00:00,0,Twitter Web App,@MKBHD Hello! I am a student finishing high school in Singapore. A group of us have created a #codeForCorona Virtual Hackathon in response to the current crisis. Are interested in being an online judge for the competition. We are trying to gain participants for the event! DM me!,Positive
348,utdYainted,2020-04-11 13:19:33+00:00,1,Twitter Web App,@jack Hello! I am a student finishing high school in Singapore. A group of us have created a #codeForCorona Virtual Hackathon in response to the current crisis. Are interested in being an online judge for the competition. We are trying to gain participants for the event! DM me!,Positive
349,L4CLaPaz,2020-04-07 11:51:52+00:00,10,Twitter Web App,CAPTURE selected for the final phase in #Hackathon! #celltherapy #clinicaltrial to treat #patients with #Covid_19 in collaboration with Prof Leung Wing from #Singapore  https://t.co/f6Mt2I3bQv Great #teamwork @L4CLaPaz   @IdipazScience @criscancer @bbpascual  #WeAreEssential,Positive
350,girlsintechuwc,2020-04-07 08:35:17+00:00,0,Twitter Web App,"SHEHACKS is being moved up! While we are all at home, take a weekend to participate in the all-female virtual hackathon.

🗓 May 2-3
⏱ 8am-3pm (first day), 9am-1pm (second day)
👤 All students in Singapore ages 11-18

https://t.co/FE4NClBCSh

#GirlsinTech #WomeninTech #Singapore https://t.co/pXW9cbEC6J",Neutral
